
422 rows returned

id     | filename                                                                                                                                | filepath                                                                                                                                                                          | sourceintegratedlufs | sourceloudnessrangelu | sourcetruepeakdbtp | transcodedbymediavortex | pass_count | category       
683730 | Panty & Stocking with Garterbelt - S01E09-E10 - Raiders of the Nasal Dark + Vomiting Point Bluray-720p-mv.mp4                           | T:\Panty & Stocking with Garterbelt\Season 1\Panty & Stocking with Garterbelt - S01E09-E10 - Raiders of the Nasal Dark + Vomiting Point Bluray-720p-mv.mp4                        | -18.8                | 17.8                  | 1.7                | None                    | 1          | severe_clipping
683834 | Fargo - S03E07 - The Law of Inevitability WEBRip-720p-mv-mv.mp4                                                                         | T:\Fargo\Season 3\Fargo - S03E07 - The Law of Inevitability WEBRip-720p-mv-mv.mp4                                                                                                 | -23.1                | 16.2                  | 1.6                | None                    | 2          | severe_clipping
684057 | Wednesday - S01E08 - A Murder of Woes WEBRip-720p-mv-mv.mp4                                                                             | T:\Wednesday\Season 1\Wednesday - S01E08 - A Murder of Woes WEBRip-720p-mv-mv.mp4                                                                                                 | -22.8                | 8.8                   | 1.6                | None                    | 2          | severe_clipping
684025 | Watchmen - S01E09 - See How They Fly WEBRip-720p-mv.mp4                                                                                 | T:\Watchmen\Season 1\Watchmen - S01E09 - See How They Fly WEBRip-720p-mv.mp4                                                                                                      | -21.6                | 16.4                  | 1.6                | None                    | 1          | severe_clipping
672236 | Murderbot - S01E03 - Risk Assessment WEBRip-1080p-mv.mp4                                                                                | T:\Murderbot\Season 1\Murderbot - S01E03 - Risk Assessment WEBRip-1080p-mv.mp4                                                                                                    | -21.1                | 15.1                  | 1.6                | True                    | 1          | severe_clipping
39722  | Malcolm in the Middle - S02E01 - Traffic Jam HDTV-1080p-mv.mp4                                                                          | T:\Malcolm in the Middle\Season 2\Malcolm in the Middle - S02E01 - Traffic Jam HDTV-1080p-mv.mp4                                                                                  | -19.8                | 13.3                  | 1.6                | True                    | 1          | severe_clipping
682583 | Pokémon - S09E38 - Aipom and Circumstance! DVD_temp-mv.mp4                                                                              | T:\Pokémon\Season 9\Pokémon - S09E38 - Aipom and Circumstance! DVD_temp-mv.mp4                                                                                                    | -10.8                | 8.2                   | 1.5                | None                    | 1          | severe_clipping
682992 | True Detective - S03E02 - Kiss Tomorrow Goodbye WEBRip-480p Proper-mv-mv.mp4                                                            | T:\True Detective\Season 3\True Detective - S03E02 - Kiss Tomorrow Goodbye WEBRip-480p Proper-mv-mv.mp4                                                                           | -24.7                | 12.7                  | 1.3                | True                    | 2          | severe_clipping
683659 | Marvel's Ultimate Spider-Man - S01E13 - Strange WEBDL-480p-mv.mp4                                                                       | T:\Marvel's Ultimate Spider-Man\Season 1\Marvel's Ultimate Spider-Man - S01E13 - Strange WEBDL-480p-mv.mp4                                                                        | -22.3                | 6.6                   | 1.2                | None                    | 1          | severe_clipping
62268  | House - S03E12 - One Day, One Room Bluray-1080p-mv.mp4                                                                                  | T:\House\Season 3\House - S03E12 - One Day, One Room Bluray-1080p-mv.mp4                                                                                                          | -20.9                | 11.4                  | 1.2                | True                    | 1          | severe_clipping
